name,link_id,osm_way_id,from_node_id,to_node_id,from_node_osm_id,to_node_osm_id,allowed_uses,electrified,frequency,highspeed,maxspeed,maxspeed_designed,passenger_lines,railway_ctcs,railway_traffic_mode,start_date,usage,voltage,gauge,service,length,geometry
UP Phoenix Subdivision,29,28880913,41,34,338494495,317460498,railway,,,,,,,,,,,,,,135.2117013,"LINESTRING(-111.9005034 33.4110759, -111.9019601 33.4110689)"
UP Phoenix Subdivision,30,28880913,34,33,317460498,317460244,railway,,,,,,,,,,,,,,211.9092386,"LINESTRING(-111.9019601 33.4110689, -111.9042431 33.4110581)"
UP Phoenix Subdivision,31,28880913,33,32,317460244,317460155,railway,,,,,,,,,,,,,,215.1180711,"LINESTRING(-111.9042431 33.4110581, -111.9065606 33.4110395)"
UP Phoenix Subdivision,32,28880913,32,28,317460155,317445522,railway,,,,,,,,,,,,,,219.0812313,"LINESTRING(-111.9065606 33.4110395, -111.9089209 33.4110434)"
UP Phoenix Subdivision,33,28885335,37,45,317498559,1497998040,railway,no,,,,,,,,,,,1435,,36.25158069,"LINESTRING(-111.9436185 33.4308119, -111.9435892 33.4304868)"
UP Phoenix Subdivision,34,28885335,45,38,1497998040,317498560,railway,no,,,,,,,,,,,1435,,35.39274933,"LINESTRING(-111.9435892 33.4304868, -111.9435799 33.4301686)"
UP Phoenix Subdivision,35,28885335,38,44,317498560,1497998036,railway,no,,,,,,,,,,,1435,,38.77655922,"LINESTRING(-111.9435799 33.4301686, -111.943585 33.4298199)"
UP Phoenix Subdivision,36,28885335,44,36,1497998036,317498474,railway,no,,,,,,,,,,,1435,,34.19245128,"LINESTRING(-111.943585 33.4298199, -111.9435847 33.4295124)"
UP Phoenix Subdivision,37,28885335,36,43,317498474,1497998030,railway,no,,,,,,,,,,,1435,,70.92276889,"LINESTRING(-111.9435847 33.4295124, -111.9435781 33.4288746)"
UP Phoenix Subdivision,38,28885335,43,1,1497998030,41582786,railway,no,,,,,,,,,,,1435,,43.6997993,"LINESTRING(-111.9435781 33.4288746, -111.9435795 33.4284816)"
UP Phoenix Subdivision,39,28885335,1,108,41582786,2300341869,railway,no,,,,,,,,,,,1435,,30.93466383,"LINESTRING(-111.9435795 33.4284816, -111.9435808 33.4282034)"
UP Phoenix Subdivision,40,28885335,108,42,2300341869,1497998027,railway,no,,,,,,,,,,,1435,,140.0611988,"LINESTRING(-111.9435808 33.4282034, -111.9435793 33.4269438)"
