o_zone_id,o_zone_name,d_zone_id,d_zone_name,accessibility,volume,geometry
3,A3,35,Gate10,1.693565532437125,11,"LINESTRING (-111.9283706 33.4284203,-111.9118529 33.4343558)"
3,A3,36,Gate11,2.3516439754684297,9,"LINESTRING (-111.9283706 33.4284203,-111.90403 33.4296558)"
3,A3,37,Gate12,2.372291989141655,8,"LINESTRING (-111.9283706 33.4284203,-111.90403 33.4249558)"
3,A3,38,Gate13,2.4772240750792665,17,"LINESTRING (-111.9283706 33.4284203,-111.90403 33.4202558)"
3,A3,39,Gate14,2.6564711360330895,20,"LINESTRING (-111.9283706 33.4284203,-111.90403 33.4155558)"
3,A3,40,Gate15,2.8962680499255398,8,"LINESTRING (-111.9283706 33.4284203,-111.90403 33.4108558)"
3,A3,41,Gate16,2.6747942006998175,11,"LINESTRING (-111.9283706 33.4284203,-111.91185 33.40616)"
3,A3,42,Gate17,2.306134788129716,46,"LINESTRING (-111.9283706 33.4284203,-111.91967 33.40616)"
3,A3,43,Gate18,2.149578596775667,62,"LINESTRING (-111.9283706 33.4284203,-111.92749 33.40616)"
3,A3,44,Gate19,2.249847875785288,22,"LINESTRING (-111.9283706 33.4284203,-111.93531 33.40616)"
3,A3,45,Gate20,2.5771378741549467,13,"LINESTRING (-111.9283706 33.4284203,-111.94313 33.40616)"
4,A4,1,A1,2.119128345306547,1,"LINESTRING (-111.9221543 33.4279785,-111.9440655 33.4294742)"
4,A4,2,A2,1.2581692730864433,1,"LINESTRING (-111.9221543 33.4279785,-111.9350544 33.4298792)"
4,A4,3,A3,0.6013198970564987,1,"LINESTRING (-111.9221543 33.4279785,-111.9283706 33.4284203)"
4,A4,4,A4,0.0,0,"LINESTRING (-111.9221543 33.4279785,-111.9221543 33.4279785)"
4,A4,5,A5,1.3593653128171383,1,"LINESTRING (-111.9221543 33.4279785,-111.9083615 33.4308479)"
4,A4,6,B1,1.9659107900125714,1,"LINESTRING (-111.9221543 33.4279785,-111.9423009 33.4249415)"
4,A4,7,B2,1.428574257273217,1,"LINESTRING (-111.9221543 33.4279785,-111.9365459 33.4245026)"
4,A4,8,B3,0.6496459330313358,1,"LINESTRING (-111.9221543 33.4279785,-111.927787 33.4242902)"
4,A4,9,B4,0.4346436191578783,1,"LINESTRING (-111.9221543 33.4279785,-111.9205792 33.4237583)"
4,A4,10,B5,1.059037087828288,1,"LINESTRING (-111.9221543 33.4279785,-111.9118167 33.4242909)"
4,A4,11,C1,2.0515896249492203,1,"LINESTRING (-111.9221543 33.4279785,-111.9420148 33.4203862)"
4,A4,12,C2,1.4705903715102477,1,"LINESTRING (-111.9221543 33.4279785,-111.9353199 33.4203006)"
4,A4,13,C3,0.9290270605474324,1,"LINESTRING (-111.9221543 33.4279785,-111.9281869 33.4204744)"
4,A4,14,C4,0.7931248291011365,1,"LINESTRING (-111.9221543 33.4279785,-111.9199398 33.4200627)"
4,A4,15,C5,1.286101596091935,1,"LINESTRING (-111.9221543 33.4279785,-111.9117545 33.4196417)"
4,A4,16,D1,2.2988705804905805,1,"LINESTRING (-111.9221543 33.4279785,-111.9427358 33.4159773)"
4,A4,17,D2,1.723539148741229,1,"LINESTRING (-111.9221543 33.4279785,-111.9353753 33.4159673)"
4,A4,18,D3,1.2604581428191544,1,"LINESTRING (-111.9221543 33.4279785,-111.9270781 33.4158789)"
4,A4,19,D4,1.160861274968642,1,"LINESTRING (-111.9221543 33.4279785,-111.9202895 33.416093)"
4,A4,20,D5,1.569433813267036,1,"LINESTRING (-111.9221543 33.4279785,-111.9116435 33.4155655)"
4,A4,21,E1,2.586282067862483,1,"LINESTRING (-111.9221543 33.4279785,-111.9428061 33.4108923)"
4,A4,22,E2,2.1217607882117946,1,"LINESTRING (-111.9221543 33.4279785,-111.934858 33.41003)"
4,A4,23,E3,1.7007827706772534,1,"LINESTRING (-111.9221543 33.4279785,-111.9274186 33.4111565)"
4,A4,24,E4,1.6103850023541262,1,"LINESTRING (-111.9221543 33.4279785,-111.9194041 33.411517)"
4,A4,25,E5,1.9616846948035875,1,"LINESTRING (-111.9221543 33.4279785,-111.9112236 33.4108366)"
4,A4,26,Gate1,3.2326344773584226,1,"LINESTRING (-111.9221543 33.4279785,-111.9509529 33.41086)"
4,A4,27,Gate2,3.026124702928788,1,"LINESTRING (-111.9221543 33.4279785,-111.9509529 33.41556)"
4,A4,28,Gate3,2.876849963617024,1,"LINESTRING (-111.9221543 33.4279785,-111.9509529 33.42026)"
4,A4,29,Gate4,2.7939990427107615,1,"LINESTRING (-111.9221543 33.4279785,-111.9509529 33.42496)"
4,A4,30,Gate5,2.7835095707024213,1,"LINESTRING (-111.9221543 33.4279785,-111.9509529 33.42966)"
4,A4,31,Gate6,2.115688449263626,2,"LINESTRING (-111.9221543 33.4279785,-111.9431329 33.4343558)"
4,A4,32,Gate7,1.410928994134261,3,"LINESTRING (-111.9221543 33.4279785,-111.9353129 33.4343558)"
4,A4,33,Gate8,0.8024964027259242,2,"LINESTRING (-111.9221543 33.4279785,-111.9274929 33.4343558)"
4,A4,34,Gate9,0.660285668522816,1,"LINESTRING (-111.9221543 33.4279785,-111.9196729 33.4343558)"
4,A4,35,Gate10,1.169038360999752,1,"LINESTRING (-111.9221543 33.4279785,-111.9118529 33.4343558)"
4,A4,36,Gate11,1.756286546635596,1,"LINESTRING (-111.9221543 33.4279785,-111.90403 33.4296558)"
4,A4,37,Gate12,1.7729678862876652,1,"LINESTRING (-111.9221543 33.4279785,-111.90403 33.4249558)"
4,A4,38,Gate13,1.9009518036340283,1,"LINESTRING (-111.9221543 33.4279785,-111.90403 33.4202558)"
4,A4,39,Gate14,2.1201769585790537,1,"LINESTRING (-111.9221543 33.4279785,-111.90403 33.4155558)"
4,A4,40,Gate15,2.4058289327501106,1,"LINESTRING (-111.9221543 33.4279785,-111.90403 33.4108558)"
4,A4,41,Gate16,2.328241000130523,1,"LINESTRING (-111.9221543 33.4279785,-111.91185 33.40616)"
4,A4,42,Gate17,2.118870064532685,2,"LINESTRING (-111.9221543 33.4279785,-111.91967 33.40616)"
4,A4,43,Gate18,2.1673050970793093,3,"LINESTRING (-111.9221543 33.4279785,-111.92749 33.40616)"
4,A4,44,Gate19,2.458354989630554,1,"LINESTRING (-111.9221543 33.4279785,-111.93531 33.40616)"
4,A4,45,Gate20,2.920360245591115,1,"LINESTRING (-111.9221543 33.4279785,-111.94313 33.40616)"
5,A5,1,A1,3.447628427117375,1,"LINESTRING (-111.9083615 33.4308479,-111.9440655 33.4294742)"
5,A5,2,A2,2.5772974318613238,1,"LINESTRING (-111.9083615 33.4308479,-111.9350544 33.4298792)"
5,A5,3,A3,1.9448353149928364,1,"LINESTRING (-111.9083615 33.4308479,-111.9283706 33.4284203)"
5,A5,4,A4,1.3593653128171383,1,"LINESTRING (-111.9083615 33.4308479,-111.9221543 33.4279785)"
5,A5,5,A5,0.0,0,"LINESTRING (-111.9083615 33.4308479,-111.9083615 33.4308479)"
5,A5,6,B1,3.324038882862241,1,"LINESTRING (-111.9083615 33.4308479,-111.9423009 33.4249415)"
5,A5,7,B2,2.7875857235758317,1,"LINESTRING (-111.9083615 33.4308479,-111.9365459 33.4245026)"
5,A5,8,B3,1.978288569341128,1,"LINESTRING (-111.9083615 33.4308479,-111.927787 33.4242902)"
5,A5,9,B4,1.3629881510188442,1,"LINESTRING (-111.9083615 33.4308479,-111.9205792 33.4237583)"
5,A5,10,B5,0.7151558564574442,1,"LINESTRING (-111.9083615 33.4308479,-111.9118167 33.4242909)"
5,A5,11,C1,3.4004917765432974,1,"LINESTRING (-111.9083615 33.4308479,-111.9420148 33.4203862)"
5,A5,12,C2,2.7932209737872635,1,"LINESTRING (-111.9083615 33.4308479,-111.9353199 33.4203006)"
5,A5,13,C3,2.1589946641121123,1,"LINESTRING (-111.9083615 33.4308479,-111.9281869 33.4204744)"
5,A5,14,C4,1.5267983980638786,1,"LINESTRING (-111.9083615 33.4308479,-111.9199398 33.4200627)"
5,A5,15,C5,1.129767939382755,1,"LINESTRING (-111.9083615 33.4308479,-111.9117545 33.4196417)"
5,A5,16,D1,3.613847208350519,1,"LINESTRING (-111.9083615 33.4308479,-111.9427358 33.4159773)"
5,A5,17,D2,2.975867284774263,1,"LINESTRING (-111.9083615 33.4308479,-111.9353753 33.4159673)"
5,A5,18,D3,2.312510070389394,1,"LINESTRING (-111.9083615 33.4308479,-111.9270781 33.4158789)"
5,A5,19,D4,1.830727971097797,1,"LINESTRING (-111.9083615 33.4308479,-111.9202895 33.416093)"
5,A5,20,D5,1.5082171382184024,1,"LINESTRING (-111.9083615 33.4308479,-111.9116435 33.4155655)"
5,A5,21,E1,3.8410501352472295,1,"LINESTRING (-111.9083615 33.4308479,-111.9428061 33.4108923)"
5,A5,22,E2,3.2513769064216653,1,"LINESTRING (-111.9083615 33.4308479,-111.934858 33.41003)"
5,A5,23,E3,2.6441215994285647,1,"LINESTRING (-111.9083615 33.4308479,-111.9274186 33.4111565)"
5,A5,24,E4,2.1481159909783756,1,"LINESTRING (-111.9083615 33.4308479,-111.9194041 33.411517)"
5,A5,25,E5,1.9505412484806826,1,"LINESTRING (-111.9083615 33.4308479,-111.9112236 33.4108366)"
5,A5,26,Gate1,4.539694617030158,3,"LINESTRING (-111.9083615 33.4308479,-111.9509529 33.41086)"
5,A5,27,Gate2,4.3663728899571534,4,"LINESTRING (-111.9083615 33.4308479,-111.9509529 33.41556)"
5,A5,28,Gate3,4.23472869903503,4,"LINESTRING (-111.9083615 33.4308479,-111.9509529 33.42026)"
5,A5,29,Gate4,4.148731376785801,6,"LINESTRING (-111.9083615 33.4308479,-111.9509529 33.42496)"
5,A5,30,Gate5,4.111246387780844,2,"LINESTRING (-111.9083615 33.4308479,-111.9509529 33.42966)"
5,A5,31,Gate6,3.3721269939411473,7,"LINESTRING (-111.9083615 33.4308479,-111.9431329 33.4343558)"
5,A5,32,Gate7,2.622479865230354,14,"LINESTRING (-111.9083615 33.4308479,-111.9353129 33.4343558)"
5,A5,33,Gate8,1.8767678763132951,7,"LINESTRING (-111.9083615 33.4308479,-111.9274929 33.4343558)"
5,A5,34,Gate9,1.142721102173955,2,"LINESTRING (-111.9083615 33.4308479,-111.9196729 33.4343558)"
5,A5,35,Gate10,0.47755859422367336,3,"LINESTRING (-111.9083615 33.4308479,-111.9118529 33.4343558)"
5,A5,36,Gate11,0.43348168025258793,3,"LINESTRING (-111.9083615 33.4308479,-111.90403 33.4296558)"
5,A5,37,Gate12,0.7056196668447273,3,"LINESTRING (-111.9083615 33.4308479,-111.90403 33.4249558)"
5,A5,38,Gate13,1.104183772467006,5,"LINESTRING (-111.9083615 33.4308479,-111.90403 33.4202558)"
5,A5,39,Gate14,1.533582222946922,6,"LINESTRING (-111.9083615 33.4308479,-111.90403 33.4155558)"
5,A5,40,Gate15,1.97379254424474,2,"LINESTRING (-111.9083615 33.4308479,-111.90403 33.4108558)"
5,A5,41,Gate16,2.405798992159103,3,"LINESTRING (-111.9083615 33.4308479,-111.91185 33.40616)"
5,A5,42,Gate17,2.6201518693072265,10,"LINESTRING (-111.9083615 33.4308479,-111.91967 33.40616)"
5,A5,43,Gate18,3.0135062109714976,13,"LINESTRING (-111.9083615 33.4308479,-111.92749 33.40616)"
5,A5,44,Gate19,3.526462871865861,5,"LINESTRING (-111.9083615 33.4308479,-111.93531 33.40616)"
5,A5,45,Gate20,4.1145300980199915,3,"LINESTRING (-111.9083615 33.4308479,-111.94313 33.40616)"
6,B1,1,A1,0.4693336094734013,3,"LINESTRING (-111.9423009 33.4249415,-111.9440655 33.4294742)"
6,B1,2,A2,0.8461086533829961,3,"LINESTRING (-111.9423009 33.4249415,-111.9350544 33.4298792)"
6,B1,3,A3,1.3854207095288114,2,"LINESTRING (-111.9423009 33.4249415,-111.9283706 33.4284203)"
6,B1,4,A4,1.9659107900125714,1,"LINESTRING (-111.9423009 33.4249415,-111.9221543 33.4279785)"
6,B1,5,A5,3.324038882862241,1,"LINESTRING (-111.9423009 33.4249415,-111.9083615 33.4308479)"
6,B1,6,B1,0.0,0,"LINESTRING (-111.9423009 33.4249415,-111.9423009 33.4249415)"
6,B1,7,B2,0.5569137815943329,6,"LINESTRING (-111.9423009 33.4249415,-111.9365459 33.4245026)"
6,B1,8,B3,1.401860137326576,3,"LINESTRING (-111.9423009 33.4249415,-111.927787 33.4242902)"
6,B1,9,B4,2.0990363673905064,1,"LINESTRING (-111.9423009 33.4249415,-111.9205792 33.4237583)"
6,B1,10,B5,2.9420901351502864,1,"LINESTRING (-111.9423009 33.4249415,-111.9118167 33.4242909)"
6,B1,11,C1,0.4404054660195433,4,"LINESTRING (-111.9423009 33.4249415,-111.9420148 33.4203862)"
6,B1,12,C2,0.808864636282261,6,"LINESTRING (-111.9423009 33.4249415,-111.9353199 33.4203006)"
6,B1,13,C3,1.4284471879849157,3,"LINESTRING (-111.9423009 33.4249415,-111.9281869 33.4204744)"
6,B1,14,C4,2.2083822885661966,2,"LINESTRING (-111.9423009 33.4249415,-111.9199398 33.4200627)"
6,B1,15,C5,2.9914563357024115,2,"LINESTRING (-111.9423009 33.4249415,-111.9117545 33.4196417)"
6,B1,16,D1,0.8659733362383453,3,"LINESTRING (-111.9423009 33.4249415,-111.9427358 33.4159773)"
6,B1,17,D2,1.0937934160332736,4,"LINESTRING (-111.9423009 33.4249415,-111.9353753 33.4159673)"
6,B1,18,D3,1.7094373164169956,4,"LINESTRING (-111.9423009 33.4249415,-111.9270781 33.4158789)"
