name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
,4130,544156315,1380,1378,1,17.61339619,,,0,service,7,"LINESTRING (-111.9242004 33.4227628, -111.9242011 33.4226044)",bike;walk,1
,4131,544156315,1380,1382,1,17.93585932,,,0,service,7,"LINESTRING (-111.9242004 33.4227628, -111.9241997 33.4229241)",bike;walk,1
,4132,544156315,1382,1380,1,17.93585932,,,0,service,7,"LINESTRING (-111.9241997 33.4229241, -111.9242004 33.4227628)",bike;walk,1
,4133,544156315,1382,1376,1,15.60071722,,,0,service,7,"LINESTRING (-111.9241997 33.4229241, -111.9241992 33.4230644)",bike;walk,1
,4134,544156315,1376,1382,1,15.60071722,,,0,service,7,"LINESTRING (-111.9241992 33.4230644, -111.9241997 33.4229241)",bike;walk,1
,4135,544156318,1384,1376,1,25.10782276,,,0,service,7,"LINESTRING (-111.9239287 33.4230605, -111.9241992 33.4230644)",bike;walk,0
,4136,544156318,1376,1358,1,34.061508,,,0,service,7,"LINESTRING (-111.9241992 33.4230644, -111.9245662 33.4230674)",bike;walk,0
,4137,544156320,1378,1379,1,63.03911279,,,0,service,7,"LINESTRING (-111.9242011 33.4226044, -111.9244402 33.4226016, -111.9245096 33.4225465, -111.9245096 33.4222591)",bike;walk,0
,4138,544156323,1380,1381,1,34.80138135,,,0,service,7,"LINESTRING (-111.9242004 33.4227628, -111.9245753 33.422756)",bike;walk,0
,4139,544156325,1356,1382,1,34.41390437,,,0,service,7,"LINESTRING (-111.9245705 33.4229214, -111.9241997 33.4229241)",bike;walk,0
,4140,544156328,1383,1386,1,16.9794653,,,0,service,7,"LINESTRING (-111.9231128 33.4230554, -111.9231128 33.4232081)",bike;walk,1
,4141,544156328,1386,1383,1,16.9794653,,,0,service,7,"LINESTRING (-111.9231128 33.4232081, -111.9231128 33.4230554)",bike;walk,1
,4142,544156328,1386,1388,1,16.02318893,,,0,service,7,"LINESTRING (-111.9231128 33.4232081, -111.9231128 33.4233522)",bike;walk,1
,4143,544156328,1388,1386,1,16.02318893,,,0,service,7,"LINESTRING (-111.9231128 33.4233522, -111.9231128 33.4232081)",bike;walk,1
,4144,544156328,1388,1390,1,17.65775679,,,0,service,7,"LINESTRING (-111.9231128 33.4233522, -111.9231127 33.423511)",bike;walk,1
,4145,544156328,1390,1388,1,17.65775679,,,0,service,7,"LINESTRING (-111.9231127 33.423511, -111.9231128 33.4233522)",bike;walk,1
,4146,544156328,1390,1389,1,109.3936548,,,0,service,7,"LINESTRING (-111.9231127 33.423511, -111.9231127 33.4236634, -111.9239236 33.4236655, -111.9239249 33.4235109)",bike;walk,1
,4147,544156328,1389,1390,1,109.3936548,,,0,service,7,"LINESTRING (-111.9239249 33.4235109, -111.9239236 33.4236655, -111.9231127 33.4236634, -111.9231127 33.423511)",bike;walk,1
,4148,544156328,1389,1387,1,17.64704728,,,0,service,7,"LINESTRING (-111.9239249 33.4235109, -111.9239262 33.4233522)",bike;walk,1
,4149,544156328,1387,1389,1,17.64704728,,,0,service,7,"LINESTRING (-111.9239262 33.4233522, -111.9239249 33.4235109)",bike;walk,1
,4150,544156328,1387,1385,1,16.01245672,,,0,service,7,"LINESTRING (-111.9239262 33.4233522, -111.9239274 33.4232082)",bike;walk,1
