link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,notes
12005,,293735443,2797,7034,1,"LINESTRING (-0.0616954 51.4868648, -0.0616783 51.4866359)",1,25.48,residential,6,32,,,auto,
12006,,293735443,7034,2797,1,"LINESTRING (-0.0616783 51.4866359, -0.0616954 51.4868648)",1,25.48,residential,6,32,,,auto,
12007,Silwood Street,295337427,4753,5613,1,"LINESTRING (-0.050538 51.4885191, -0.0519165 51.4890932)",1,114.82,residential,6,32,,,auto,
12008,Silwood Street,295337427,2426,4753,1,"LINESTRING (-0.0500242 51.4883024, -0.050538 51.4885191)",1,42.97,residential,6,32,,,auto,
12009,Silwood Street,295337427,5613,4753,1,"LINESTRING (-0.0519165 51.4890932, -0.050538 51.4885191)",1,114.82,residential,6,32,,,auto,
12010,Silwood Street,295337427,4753,2426,1,"LINESTRING (-0.050538 51.4885191, -0.0500242 51.4883024)",1,42.97,residential,6,32,,,auto,
12011,Brixton Water Lane,296228901,7035,1550,1,"LINESTRING (-0.1120099 51.4553328, -0.1126334 51.4552511, -0.1127887 51.4552294)",1,55.17,primary,3,32,2,,auto,
12012,Brixton Water Lane,296228901,1550,7036,1,"LINESTRING (-0.1127887 51.4552294, -0.1128056 51.4552279, -0.1132411 51.45519, -0.1133264 51.4551892)",1,37.56,primary,3,32,2,,auto,
12013,Dalberg Road,296228902,2237,1535,1,"LINESTRING (-0.1107871 51.45564, -0.1107024 51.4555915, -0.1106684 51.455572, -0.1106393 51.4555553, -0.1106317 51.4555468, -0.110584 51.4554936)",1,21.77,primary,3,32,1,,auto,
12014,Durham Street,296236766,7037,3669,1,"LINESTRING (-0.1189109 51.4857921, -0.1188926 51.485747, -0.1187664 51.4854348, -0.11858 51.4849704, -0.1185739 51.4849426)",1,97.32,trunk,2,32,2,,auto,
12015,Durham Street,296236766,7038,7037,1,"LINESTRING (-0.1191456 51.4863797, -0.1189821 51.4859712, -0.1189433 51.4858723, -0.1189109 51.4857921)",1,67.33,trunk,2,32,2,,auto,
12016,Durham Street,296236767,7039,7038,1,"LINESTRING (-0.1187726 51.4865004, -0.11904 51.4864385, -0.1191091 51.4864094, -0.1191456 51.4863797)",1,29.69,trunk,2,32,1,,auto,
12017,Kennington Lane,296236768,6385,7040,1,"LINESTRING (-0.1182013 51.4865767, -0.118144 51.4865856, -0.1179733 51.4866129, -0.1178205 51.4866337)",1,27.12,trunk,2,32,,,auto,
12018,Kennington Lane,296236768,7041,602,1,"LINESTRING (-0.1167185 51.486808, -0.1166542 51.4868181, -0.1166006 51.4868263, -0.1165156 51.4868393)",1,14.47,trunk,2,32,,,auto,
12019,Kennington Lane,296236768,7039,6385,1,"LINESTRING (-0.1187726 51.4865004, -0.1182862 51.4865662, -0.1182013 51.4865767)",1,40.46,trunk,2,32,,,auto,
12020,Kennington Lane,296236768,7042,587,1,"LINESTRING (-0.1176643 51.4866556, -0.1175293 51.4866767, -0.1173668 51.4866993)",1,21.17,trunk,2,32,,,auto,
12021,Kennington Lane,296236768,588,7041,1,"LINESTRING (-0.1170672 51.4867515, -0.1167185 51.486808)",1,24.95,trunk,2,32,,,auto,
12022,Kennington Lane,296236768,587,588,1,"LINESTRING (-0.1173668 51.4866993, -0.1170672 51.4867515)",1,21.54,trunk,2,32,,,auto,
12023,Kennington Lane,296236768,7043,6487,1,"LINESTRING (-0.1150783 51.4869133, -0.1148888 51.4869183)",1,13.13,trunk,2,32,,,auto,
12024,Kennington Lane,296236768,7044,7043,1,"LINESTRING (-0.1162724 51.486866, -0.1158205 51.4868931, -0.1156291 51.4868937, -0.1153938 51.4869038, -0.1150783 51.4869133)",1,82.89,trunk,2,32,,,auto,
12025,Kennington Lane,296236768,7040,7042,1,"LINESTRING (-0.1178205 51.4866337, -0.1177462 51.4866429, -0.1176643 51.4866556)",1,11.09,trunk,2,32,,,auto,
12026,Kennington Lane,296236768,602,7044,1,"LINESTRING (-0.1165156 51.4868393, -0.1163829 51.486856, -0.1163451 51.4868608, -0.1162724 51.486866)",1,17.11,trunk,2,32,,,auto,
12027,Kennington Lane,296236768,6487,7043,1,"LINESTRING (-0.1148888 51.4869183, -0.1150783 51.4869133)",1,13.13,trunk,2,32,,,auto,
12028,Kennington Lane,296236768,7043,7044,1,"LINESTRING (-0.1150783 51.4869133, -0.1153938 51.4869038, -0.1156291 51.4868937, -0.1158205 51.4868931, -0.1162724 51.486866)",1,82.89,trunk,2,32,,,auto,
12029,Kennington Lane,296236768,7042,7040,1,"LINESTRING (-0.1176643 51.4866556, -0.1177462 51.4866429, -0.1178205 51.4866337)",1,11.09,trunk,2,32,,,auto,
12030,Kennington Lane,296236768,7044,602,1,"LINESTRING (-0.1162724 51.486866, -0.1163451 51.4868608, -0.1163829 51.486856, -0.1165156 51.4868393)",1,17.11,trunk,2,32,,,auto,
12031,Kennington Lane,296236768,7040,6385,1,"LINESTRING (-0.1178205 51.4866337, -0.1179733 51.4866129, -0.118144 51.4865856, -0.1182013 51.4865767)",1,27.12,trunk,2,32,,,auto,
12032,Kennington Lane,296236768,6385,7039,1,"LINESTRING (-0.1182013 51.4865767, -0.1182862 51.4865662, -0.1187726 51.4865004)",1,40.46,trunk,2,32,,,auto,
12033,Kennington Lane,296236768,7041,588,1,"LINESTRING (-0.1167185 51.486808, -0.1170672 51.4867515)",1,24.95,trunk,2,32,,,auto,
12034,Kennington Lane,296236768,588,587,1,"LINESTRING (-0.1170672 51.4867515, -0.1173668 51.4866993)",1,21.54,trunk,2,32,,,auto,
12035,Kennington Lane,296236768,602,7041,1,"LINESTRING (-0.1165156 51.4868393, -0.1166006 51.4868263, -0.1166542 51.4868181, -0.1167185 51.486808)",1,14.47,trunk,2,32,,,auto,
12036,Kennington Lane,296236768,587,7042,1,"LINESTRING (-0.1173668 51.4866993, -0.1175293 51.4866767, -0.1176643 51.4866556)",1,21.17,trunk,2,32,,,auto,
12037,Kennington Lane,296236769,6660,606,1,"LINESTRING (-0.1193954 51.486404, -0.1192258 51.4864549, -0.1192029 51.4864608)",1,14.75,trunk,2,32,1,,auto,
12038,Kennington Lane,296236769,606,7039,1,"LINESTRING (-0.1192029 51.4864608, -0.1191237 51.4864714, -0.1190698 51.486479, -0.1187726 51.4865004)",1,30.15,trunk,2,32,1,,auto,
12039,Kennington Lane,296236770,6660,7038,1,"LINESTRING (-0.1193954 51.486404, -0.1192196 51.4864108, -0.1191772 51.4863982, -0.1191456 51.4863797)",1,18.45,trunk,2,32,1,,auto,
12040,Commercial Way,296546286,7045,5314,1,"LINESTRING (-0.0617673 51.4802528, -0.0614628 51.4805209, -0.061192 51.4807637, -0.0607647 51.4811431)",1,120.92,tertiary,5,32,,,auto,
12041,Commercial Way,296546286,4894,7045,1,"LINESTRING (-0.0630428 51.4792417, -0.0625367 51.4796182, -0.0617673 51.4802528)",1,143.02,tertiary,5,32,,,auto,
12042,Commercial Way,296546286,7045,4894,1,"LINESTRING (-0.0617673 51.4802528, -0.0625367 51.4796182, -0.0630428 51.4792417)",1,143.02,tertiary,5,32,,,auto,
12043,Commercial Way,296546286,5314,7045,1,"LINESTRING (-0.0607647 51.4811431, -0.061192 51.4807637, -0.0614628 51.4805209, -0.0617673 51.4802528)",1,120.92,tertiary,5,32,,,auto,
12044,Ebbisham Drive,297645855,3524,3546,1,"LINESTRING (-0.1200958 51.4836695, -0.1199912 51.483804, -0.1194494 51.4838805, -0.1188749 51.4840015, -0.1185684 51.4840572)",1,119.19,residential,6,32,,,auto,
12045,Kendal Close,297646337,7046,3778,1,"LINESTRING (-0.1047696 51.4784088, -0.1048659 51.4785332, -0.1049875 51.4785772, -0.1052373 51.4786279, -0.1054976 51.4786896, -0.1058776 51.4788027, -0.1061978 51.4789217, -0.1064683 51.4790558, -0.106777 51.4792266)",1,170.11,residential,6,32,,,auto,
