name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes
,294,21316641,,-0.0689940,51.4648707,,,,,
,295,25497962,,-0.0687883,51.4643562,,,,,
,296,311807455,,-0.0685230,51.4635207,,,,,
,297,21316627,,-0.0679540,51.4622066,,,,,
,298,108308,,-0.1419278,51.4965767,,,,,
,299,25305891,,-0.1416088,51.4960706,,,,,
,300,25276649,,-0.1336977,51.4930206,,,,,
,301,25276646,,-0.1345288,51.4918247,,,,,
,302,25276650,,-0.1332446,51.4936726,,,,,
,303,25038551,,-0.1367762,51.4941985,,,,,
,304,25038560,,-0.1362304,51.4940178,,,,,
,305,6648629302,signal,-0.1363084,51.4921034,,,,,
,306,25276644,,-0.1358272,51.4924988,,,,,
,307,25280970,,-0.1364115,51.4920193,,,,,
,308,25276645,,-0.1350333,51.4920868,,,,,
,309,25536877,,-0.1355161,51.4916840,,,,,
,310,25536878,,-0.1348895,51.4913464,,,,,
,311,21558064,,-0.1437136,51.4929428,,,,,
,312,108353,,-0.1446826,51.4934180,,,,,
,313,24827071,,-0.1389649,51.4898899,,,,,
,314,24828356,,-0.1395703,51.4907036,,,,,
,315,24829104,,-0.1389776,51.4913491,,,,,
,316,8899495810,signal,-0.1392388,51.4910144,,,,,
,317,24828805,,-0.1393183,51.4909090,,,,,
,318,271388738,,-0.1386667,51.4917555,,,,,
,319,1960864468,,-0.1384082,51.4919452,,,,,
,320,24829118,,-0.1378470,51.4908188,,,,,
,321,33507260,,-0.1141149,51.5052423,,,,,
,322,1707216616,,-0.1097308,51.5056765,,,,,
,323,1707216628,,-0.1083341,51.5061719,,,,,
,324,25471693,,-0.1076102,51.5079351,,,,,
,325,1707216789,,-0.1075623,51.5078069,,,,,
,326,3933712866,,-0.1044471,51.5052048,,,,,
,327,3933712863,,-0.1046035,51.5052064,,,,,
,328,25472574,,-0.1013140,51.4965453,,,,,
,329,2684327428,,-0.1009163,51.4972101,,,,,
,330,96619950,,-0.1057123,51.4948838,,,,,
,331,25472581,,-0.1061834,51.4950024,,,,,
,332,25472580,,-0.1052719,51.4947681,,,,,
,333,25472026,,-0.1055685,51.5052052,,,,,
,334,25472027,,-0.1056964,51.5055340,,,,,
,335,25472326,,-0.1044282,51.5060720,,,,,
,336,25472327,,-0.1033817,51.5060674,,,,,
,337,25472331,,-0.1018225,51.5048599,,,,,
,338,287438190,,-0.1021927,51.5055914,,,,,
,339,2567779137,signal,-0.1164604,51.5026848,,,,,
,340,25472373,,-0.1162079,51.5026338,,,,,
,341,25472727,,-0.1043187,51.4946338,,,,,
,342,25472725,,-0.1036703,51.4957712,,,,,
,343,96619946,,-0.1047228,51.4935197,,,,,
,344,25472728,,-0.1045940,51.4939299,,,,,
,345,25472729,,-0.1046306,51.4946750,,,,,
,346,3476430375,signal,-0.1030589,51.4954279,,,,,
,347,287248398,,-0.1029702,51.4955467,,,,,
,348,25472731,,-0.1035972,51.4935396,,,,,
,349,25472469,,-0.1108451,51.5050019,,,,,
,350,25472468,,-0.1111303,51.5042740,,,,,
,351,25473290,,-0.1105221,51.5043869,,,,,
,352,25472893,,-0.1121071,51.5040735,,,,,
,353,25472738,,-0.1027374,51.4936326,,,,,
,354,25472956,,-0.1023717,51.4953951,,,,,
,355,25472957,,-0.1026292,51.4954658,,,,,
,356,2464418698,,-0.1025829,51.4955286,,,,,
,357,25472960,,-0.1028825,51.4986911,,,,,
,358,25472962,,-0.1020755,51.4980471,,,,,
,359,2456242944,,-0.1035725,51.4977632,,,,,
,360,25499117,,-0.1027189,51.4979266,,,,,
,361,8105011687,,-0.1040986,51.4932031,,,,,
,362,25472965,,-0.1040500,51.4931128,,,,,
,363,25472966,,-0.1035787,51.4926638,,,,,
,364,2105133256,,-0.1028960,51.4920917,,,,,
,365,6339483821,,-0.1024951,51.4918646,,,,,
,366,986831766,,-0.1029355,51.4921185,,,,,
,367,25472736,,-0.1042197,51.4935136,,,,,
,368,3390681166,,-0.1030407,51.4932612,,,,,
,369,6339517690,,-0.1029520,51.4932658,,,,,
,370,25472969,,-0.1041857,51.4924491,,,,,
,371,25472970,,-0.1026321,51.4922710,,,,,
,372,986832037,,-0.1036315,51.4920850,,,,,
,373,2105133277,,-0.1036816,51.4921919,,,,,
,374,25472888,,-0.1061444,51.5071617,,,,,
,375,25473056,,-0.1071087,51.4937726,,,,,
,376,1834095850,,-0.1067799,51.4939620,,,,,
,377,25473057,,-0.1086731,51.4928452,,,,,
,378,25473058,,-0.1091811,51.4925313,,,,,
,379,25473060,,-0.1078998,51.4938936,,,,,
,380,25473066,,-0.1085893,51.4934522,,,,,
,381,25473069,,-0.1102514,51.4931778,,,,,
,382,25473067,,-0.1097293,51.4934893,,,,,
,383,357455430,,-0.1109168,51.4930780,,,,,
,384,25473068,,-0.1091212,51.4931297,,,,,
,385,287438192,,-0.0989800,51.5051484,,,,,
,386,24923176,,-0.1012040,51.5052695,,,,,
,387,25473218,,-0.1010254,51.5055359,,,,,
,388,25472793,,-0.1006751,51.5054578,,,,,
,389,25472330,,-0.1030135,51.5048002,,,,,
,390,340301592,,-0.1028924,51.5048005,,,,,
,391,5207546656,,-0.1032756,51.5060698,,,,,
,392,364273,,-0.1131295,51.4960798,,,,,
,393,829882421,,-0.1126778,51.4954737,,,,,
,394,25468769,,-0.1082374,51.5046993,,,,,
,395,266325842,,-0.1090638,51.5045601,,,,,
Waterloo,396,14866466,,-0.1104875,51.5043235,,,,,
,397,25472174,,-0.1142112,51.4971410,,,,,
