o_zone_id,o_zone_name,d_zone_id,d_zone_name,accessibility,geometry
5,A5,4,A4,0.3471965871069263,"LINESTRING (13.2026323 52.555621,13.1976345 52.5556169)"
5,A5,5,A5,0.0,"LINESTRING (13.2026323 52.555621,13.2026323 52.555621)"
5,A5,6,A6,0.29666063606386045,"LINESTRING (13.2026323 52.555621,13.2069026 52.555611)"
5,A5,7,A7,0.6715853936494289,"LINESTRING (13.2026323 52.555621,13.2122995 52.5556031)"
5,A5,8,A8,1.0475392064093172,"LINESTRING (13.2026323 52.555621,13.2177111 52.555538)"
5,A5,9,A9,1.3264919305090128,"LINESTRING (13.2026323 52.555621,13.2217235 52.5552714)"
5,A5,10,A10,1.600378084894373,"LINESTRING (13.2026323 52.555621,13.2256692 52.5556722)"
5,A5,11,B1,1.3357570230244413,"LINESTRING (13.2026323 52.555621,13.1838823 52.5513612)"
5,A5,12,B2,1.0640768545007895,"LINESTRING (13.2026323 52.555621,13.1877558 52.5519738)"
5,A5,13,B3,0.696205723540375,"LINESTRING (13.2026323 52.555621,13.1931628 52.5523402)"
5,A5,14,B4,0.43965408646956416,"LINESTRING (13.2026323 52.555621,13.1975354 52.5518695)"
5,A5,15,B5,0.28690656187446145,"LINESTRING (13.2026323 52.555621,13.2020792 52.5515283)"
5,A5,16,B6,0.45412323324609905,"LINESTRING (13.2026323 52.555621,13.2082298 52.5522446)"
5,A5,17,B7,0.6801275912136483,"LINESTRING (13.2026323 52.555621,13.2119786 52.5527064)"
5,A5,18,B8,1.0361284249089504,"LINESTRING (13.2026323 52.555621,13.2171456 52.5521837)"
5,A5,19,B9,1.360181887793873,"LINESTRING (13.2026323 52.555621,13.2221629 52.5542396)"
5,A5,20,B10,1.6138054519268858,"LINESTRING (13.2026323 52.555621,13.225601 52.5521452)"
5,A5,21,C1,1.4581912096732963,"LINESTRING (13.2026323 52.555621,13.1837045 52.5465474)"
5,A5,22,C2,1.2012178666779467,"LINESTRING (13.2026323 52.555621,13.1876311 52.5470216)"
5,A5,23,C3,0.9264775149169564,"LINESTRING (13.2026323 52.555621,13.1922758 52.5472185)"
5,A5,24,C4,0.6488848362353248,"LINESTRING (13.2026323 52.555621,13.1978552 52.5475945)"
5,A5,25,C5,0.5743613093776447,"LINESTRING (13.2026323 52.555621,13.2023174 52.5473592)"
5,A5,26,C6,0.6281388631130101,"LINESTRING (13.2026323 52.555621,13.207515 52.5480108)"
5,A5,27,C7,0.8071232752260012,"LINESTRING (13.2026323 52.555621,13.2116045 52.5482397)"
5,A5,28,C8,1.1890357280293302,"LINESTRING (13.2026323 52.555621,13.2182015 52.548511)"
5,A5,29,C9,1.4867591340844424,"LINESTRING (13.2026323 52.555621,13.2225432 52.5477739)"
5,A5,30,C10,1.7046574005788568,"LINESTRING (13.2026323 52.555621,13.2256429 52.5470988)"
5,A5,31,D1,1.5710886128798693,"LINESTRING (13.2026323 52.555621,13.1840595 52.5427174)"
5,A5,32,D2,1.369382244476964,"LINESTRING (13.2026323 52.555621,13.1872463 52.5432992)"
5,A5,33,D3,1.1420178798314682,"LINESTRING (13.2026323 52.555621,13.1927723 52.5424672)"
5,A5,34,D4,0.9593904050988667,"LINESTRING (13.2026323 52.555621,13.1979796 52.5426182)"
5,A5,35,D5,0.8736806569739954,"LINESTRING (13.2026323 52.555621,13.2025417 52.543045)"
5,A5,36,D6,0.9115420528161415,"LINESTRING (13.2026323 52.555621,13.2071003 52.5432838)"
5,A5,37,D7,1.1754129791171861,"LINESTRING (13.2026323 52.555621,13.2124087 52.5418116)"
5,A5,38,D8,1.4870647306535552,"LINESTRING (13.2026323 52.555621,13.21772 52.5404364)"
5,A5,39,D9,1.682781063474527,"LINESTRING (13.2026323 52.555621,13.2226372 52.5419621)"
5,A5,40,D10,1.8519690584004591,"LINESTRING (13.2026323 52.555621,13.2256983 52.5422555)"
6,A6,1,A1,1.5657952841314675,"LINESTRING (13.2069026 52.555611,13.184365 52.5558743)"
6,A6,2,A2,1.2496199892518238,"LINESTRING (13.2069026 52.555611,13.1889152 52.5554778)"
6,A6,3,A3,0.9736275541586731,"LINESTRING (13.2069026 52.555611,13.1928876 52.5555907)"
6,A6,4,A4,0.6438564269933682,"LINESTRING (13.2069026 52.555611,13.1976345 52.5556169)"
6,A6,5,A5,0.29666063606386045,"LINESTRING (13.2069026 52.555611,13.2026323 52.555621)"
6,A6,6,A6,0.0,"LINESTRING (13.2069026 52.555611,13.2069026 52.555611)"
6,A6,7,A7,0.3749248192666365,"LINESTRING (13.2069026 52.555611,13.2122995 52.5556031)"
6,A6,8,A8,0.7508806469433844,"LINESTRING (13.2069026 52.555611,13.2177111 52.555538)"
6,A6,9,A9,1.0298800257509364,"LINESTRING (13.2069026 52.555611,13.2217235 52.5552714)"
6,A6,10,A10,1.3037212336810649,"LINESTRING (13.2069026 52.555611,13.2256692 52.5556722)"
6,A6,11,B1,1.6262475143094308,"LINESTRING (13.2069026 52.555611,13.1838823 52.5513612)"
6,A6,12,B2,1.3539179769762173,"LINESTRING (13.2069026 52.555611,13.1877558 52.5519738)"
6,A6,13,B3,0.9811750510233213,"LINESTRING (13.2069026 52.555611,13.1931628 52.5523402)"
6,A6,14,B4,0.7007326136726493,"LINESTRING (13.2069026 52.555611,13.1975354 52.5518695)"
6,A6,15,B5,0.4390048455372999,"LINESTRING (13.2069026 52.555611,13.2020792 52.5515283)"
6,A6,16,B6,0.25138389696666674,"LINESTRING (13.2069026 52.555611,13.2082298 52.5522446)"
6,A6,17,B7,0.40628161072795765,"LINESTRING (13.2069026 52.555611,13.2119786 52.5527064)"
6,A6,18,B8,0.7503544035773223,"LINESTRING (13.2069026 52.555611,13.2171456 52.5521837)"
6,A6,19,B9,1.0644048775068795,"LINESTRING (13.2069026 52.555611,13.2221629 52.5542396)"
6,A6,20,B10,1.3211044767968594,"LINESTRING (13.2069026 52.555611,13.225601 52.5521452)"
